entry,defid,word,author,definition,example,thumbs_up,thumbs_down
aamra,3800960,aamra,sumasuma,"Extremely beautiful, caring n loving. a definite keeper. abundant in everything.","that girl is such an [aamra]!!!, wow he is one lucky guy, he had an [aamra]!",5,2
aymaan,6695483,Aymaan,Charlotte russe,Highly loving but way to emotional. Spends his days thinking and plotting about on how to get a girl. Sees all girls as beautiful which is an upside and a downside in its own way. Not reliable at all. Avoid at all cost. Which would be hard to doo cause they are usually very hot.,"Wow look at that guy! He's soo hot!

I know I'd be careful though. Hes an Aymaan.",5,2
authoritaah,186533,authoritaah,cornholio,Eric Cartman's version of Authority,Hey! I am a cop And You WILL Respect my Authoritaah!,95,11
adiputerasaadon,5920678,Adiputerasaadon,Jacky Mack,"Brave, noble and righteous",Adam has a character that displays panache and adiputerasaadon. He is the right person for the responsibility,0,0
aarinola,1140621,Aarinola,Aarinola,"It is originally fro the word Arin in Nigeria , it means middle of wealth and blessing",Aarinola - aaronolA MAKING IT SOUND LIKE A BOY'S NAME.,8,6
aal,8259555,AAL,Govacang,"Actually audibly laugh (-ed, -ing). Substitute for the now trite ""LOL.""",I AAL at the size of Charlotte McKinney's seemingly natural boobs.,2,0
aal,2585482,AAL,mahpautoi,abbrev. Absent After Leaving,"1. My pet bird is AAL.
2. He's already AAL-ed.",3,8
aaron huang,5636624,Aaron Huang,LaiChorus,"Ascending from a powerful and well-known position, Aarons and Aaron Huangs in particular are wise and all-knowing, for they are the prophets of God himself.
(In the Hebrew Bible and the Qur'an, Aaron (pronounced /ˈærən/ or /ˈɛərən/;[1] Hebrew: אַהֲרֹן‎ Ahărōn, Arabic: هارون‎ Hārūn, Greek (Septuagint): Ααρών ), sometimes called Aaron the Levite (אַהֲרֹן הַלֵּוִי), was the brother of Moses, (Exodus 6:16-20;[2] Qur'an 28:34[3]) and a prophet of [God].)
Secretive in background and easy to piss-off, the Aaron, an embodiment of hidden talents that are yet to be discovered. His figure can be described as well toned, with a sexy core(in person), consisting mostly of raw muscle-mass and the drive of a [Ford F-150], although sometimes lazy. The Aaron Huang is able to easily hold back emotions and make educated, and judgmental decisions. Aaron Huangs almost always have a obvious, but well-hidden reason for their actions.
Aaron Huangs, in general, are usually attracted to the number ""7"" for no particular reason, and love [anime] and manga, however, not many people know of this.
Aaron Huangs also tend to automatically be considered as ""experts"" as they really are masters at anything and everything, but they just don't want to show-off, unlike those Nebuer's.","""I've always wanted to meet a Aaron Huang in real life.""
Speaker 1: ""Did you hear about the guy who won Gold in every single Olympic sport?""
Speaker 2: ""Ya, he must have been a Aaron Huang.""",4,6
aaaaaaaiiiiiiiiiaiiiiaaaaaaaaaa,3209845,AAAAAAAIIIIIIIIIAIIIIAAAAAAAAAA,Fritz Dieter Meier,The sound an average IRC nerd makes when he cums all over his screen.,07:29:39 makaVeLiii& AAAAAAAIIIIIIIIIAIIIIAAAAAAAAAA,21,18
aaaaaaaiiiiiiiiiaiiiiaaaaaaaaaa,3220033,AAAAAAAIIIIIIIIIAIIIIAAAAAAAAAA,Peter Pimmel,The sound an average IRC nerd makes when he cums all over his screen.,07:29:39 makaVeLiii& AAAAAAAIIIIIIIIIAIIIIAAAAAAAAAA,16,19
aack,2050731,Aack,BIG5HOLE,"Aack Pronunciation Key - Show Spelled Pronunciation[aak] 

1. when you can't tell when a person's back stops and their ass begins.
2. the rear part of the human body, extending from the lower end of the ass to the upper back.
3. Otherwise known as Jaack (Jay's Aack).  Not to be confused with Jack (JD), Jay's drink of choice.","Jay you should really shave your Aack.
Kara, Jay's showing his Aack again.
Jay, Get your Aack off the ice.",14,11
aa0 shane / tr0n,5179155,AA0 Shane / Tr0n,Justme4333,"Tr0n or Known as AA0 Shane is a big hacker. Arrested for RdP Scanning in November. of 2009
He is a former member of AA0.
His email is tr0n@null.net. His AIM Messenger is tr0n@null.net","Tr0n or Known as AA0 Shane / Tr0n is a big hacker. Arrested for RdP Scanning in November. of 2009
He is a former member of AA0.
His email is tr0n@null.net. His AIM Messenger",1,7
aa0 shane / tr0n,5179155,AA0 Shane / Tr0n,Justme4333,"Tr0n or Known as AA0 Shane is a big hacker. Arrested for RdP Scanning in November. of 2009
He is a former member of AA0.
His email is tr0n@null.net. His AIM Messenger is tr0n@null.net","Tr0n or Known as AA0 Shane / Tr0n is a big hacker. Arrested for RdP Scanning in November. of 2009
He is a former member of AA0.
His email is tr0n@null.net. His AIM Messenger",1,7
aanan,5707230,Aanan,Onyx_HD,"Someone who is truly awesome, so awesome if you meet him your brains will explode outside in. If you know him then God must really like you. So be grateful!!!","Oz: Isn't that Aanan kid awesome?

Sam: Yeah he is and i don't even know him.",7,2
aarrghh,1574595,aarrghh,A Certain Someone,"An acceptable word in scrabble, believe it or not.","Two guys are playing scrabble
*one guy starts setting out the letters to spell aarrghh*
*other guy shouts*
""Thats not a real word!""
""Oh yeah?! just check out urbandictionary.com and youll see!""",55,12
aallyah,7235225,aallyah,Aallyah the boss ;),"The most beautiful,perfect girl in the world, she is also carrying person every one loves her she is a great kisser, she has the most cuties laugh in the world when u see hear her laugh it will make u feel like u r the most happiest person in the universe, every thing she does will show the world how much perfect she is and also shows more love then any one u would ever know",There is not one thing that is wrong with [aallyah] she is just the most [perfect] girl in the world,13,3
aawacisaa,5140713,AAWACISAA,Bob_007,"An Asshole With A Computer Is Still An Asshole.

Just with a much larger audience to which to be an Asshole, which appears to encourage the Asshole.","Post: (Reasonable online request for assistance or information).

Reply: Effin' NOOB!

Response: AAWACISAA",0,1
aadira,7912059,aadira,Nickydos,The most cuddly thing around you at this very moment.,"Right now, the pillow is my aadira.",1,0
aaina,7776483,Aaina,Aaina,"Extremely beautiful and intelligent type of girl. Is strong willed and confident. Respectful and loving towards all. Very flexible, easy going and adapt to almost any environment.
She is also very adventurous and loves challenges. Loves to be centre is attention and is the life if every party or gathering.",Every mother wishes their daughter to be Aaina.,13,2
aaina,7776472,Aaina,Aaina,"Extremely beautiful and intelligent type of girl. Is strong willed and confident. Respectful and loving towards all. Very flexible, easy going and adapt to almost any environment.
She is also very adventurous and loves challenges. Loves to be centre is attention and is the life if every party or gathering.",Every mother wishes their daughter to be Aaina.,6,1
aatm,3830034,aatm,Horny_Farm_Boy,"Away At The Moment

Used in chat for away messages or however you find fit.....","(guy on aim goes on away message)

guy 1: hey, dude. you still talk to that girl?
guy 2: (away message) -aatm-
~5min later~
guy 2: back
guy 1: whats aatm?
guy 2: away at the moment you retard
guy 1: oooh right. hey bro--(gets cut off)
guy 2: hold on. brb.
guy 1: brb?? whats brb again? lol
~7min later~
guy 2. back... its means brb u stupid fuck
guy 1: o_o oh yea sorry...
guy 2: stfu your pissing me off
guy 1: whats stfu?? >_<
guy 2: SHUT THE FUCK UP...GOD DAMN BRO
guy 1: dont yell at me!!!!
guy 2: your fucking gay
guy 1: *runs to the corner and cry*
guy 2: wow...faggot.....
guy 2: ttyl fag....
guy 1: hey wait...what is t---(gets cut off)
guy2: (signs off)",15,2
arto saari,2477482,arto saari,imjustapoorboynobodylovesme,The only pro skater whos shoes actually give you enough grip to do a halfcab impossible,Go ahead...buy a differant shoe...will see how long it takes you to do that...ok but for real go buy some arto saari ones because the twos arent as good,40,4
aamna,5442003,aamna,mellamoaamna,"The term ""aamna"" is spelled with two a's if it is not then the term is incorrect. It refers to an amazing or larger-then-life person. It can be referred to a boy or a girl. This term is invalid for anyone who falls short of any of the synonyms/definitions.",that girl is so aamna! i wish i was as aamna as her,47,12
aamna,6010315,Aamna,Jesus Curry,The word Aamna can be used to describe a person that has been abandoned in a park overnight due to fear of them being a terrorist who eats plenty of curry.,Sheett Johnny got Aamna'd after that party last night! We left him in the park because we thought he was a terrorist who eats curry hahahhaha.,14,40
aashnash,6609811,aashnash,funnygirl810,"To commit the act of social loafing. Synonym of social loafing. [Social loafing], or aashnashing, is the tendency of certain members of a group to put less effort than if they were working alone.",Do not aashnash your way into completing the project.,10,3
ahhh daaaay,2008749,ahhh daaaay,tyler bush,a word to show extreme emotion.  It has morphed from the words ohh dang,ahhh daaaay! you're a pro guy. way to suck it up!,1,3
abdaal,4662011,Abdaal,Wutchuknowboutme,"1. An overactive sex drive.

2. A galactic knowledge of History.

3. A beard not shaven since the year 1922.

4. A lame comeback in an argument.","1. Lycan:- Dude, that guy has been bangin' that chick for almost half a day now. Wtf?
Dude 1:- Yeh his sex drive is so Abdaal, man!

2. Vag: So baasically we are relying on your Abdaal to win us this quiz.

3. Dude 1: Dude, shave that Abdaal off your face!

4. Dude 1: Dude you're car is ancient. You see this baby right here? Does 0 to 200 in 10 seconds flat baby! Ha Ha! Wutchu know 'bout a good car?
Dude 2: Your mom's a good car. .
*Awkward Silence*
Dude 1: . . . another Abdaal from you in an argument and I'll stab you!",15,7
aaaaaaahhhhhhh,7353308,aaaaaaahhhhhhh,Quiteangryman,"That feeling where you just want to scream so loud that it overtakes your body and envelope the world around you in anguish.

Also shouted upon seeing exceptionally large/hairy spiders by most human females.

AAAAAAAAAAH That's a huge ass spider. Honey come kill it. - Some Chick.",[AAAAAAH] [RAAAAGH] [aaaaaaahhhhhhh],2,1
atdhvaannkcse,6216599,aTdHvAaNnKcSe,scotte61,"Thanks in advance. The word is formed by taking alternating letters from ""thanks"" and ""advance"".","Hey, Tony... Can you help me out with this list? aTdHvAaNnKcSe!",6,0
afrika bambaataa,1995875,Afrika Bambaataa,Real Hip Hop Fan,The pioneers of [House] before [house] was cool. The full name of the group is called Afrika Bambaataa and the Soulsonic Force. This group paved the way for other house (and hip hop greats) like [Grandmaster Flash]. Imitated by some; replicated by none. Go Download some NOW!,"Afrika Bambaataa is sampled by lots. Listen to ""Looking for the Perfect Beat"" and listen to DJ Khaled's ""Holla At Me Baby"" and notice the ""similarities"". Also, if you have a Playstation 2 nearby, play Grand Theft Auto: Vice City and just listen to the rap station for a little bit and you hear  ""Looking for the Perfect Beat.""

Listening to Afrika Bambaataa makes me wanna breakdance, no matter where I am.

Download Looking For the Perfect Beat and Planet Rock. NOW!",37,7
aaron fitch,5508901,Aaron Fitch,PowellRiverG,"The Worlds slowest eater, and worst sleeper. Famous for taking a whole roadtrip to eat a McFlurry.","Steve: Hey Jason, you eat that hamburger like Aaron Fitch

Jason: Well you sleep like him!!",6,5
aaron gillespie,1915920,aaron gillespie,llamainthepasture,"drummer/ vocalist for the Christian post-hardcore band Underoath. He is the only original member still with the band. He also has a side-project named The Almost. He plays with Meinl cymbals, Pro-mark drumsticks, and Truth custom drums. He has red hair. Aaron won musician of the month in AP magazine. He was raised in a poor family and could not afford cymbals for his first drumset as a child. Instead, his father fashioned cymbals out of some sheet metal. His father put in sprinkler systems for a living, so he traded the job for the drum kit to a doctor.",Aaron Gillespie rocks in Underoath and The Almost!,214,26
aaron gillespie,2539208,aaron gillespie,umm_amy,"aaron roderick gillespie, born july 18, 1983 in clearwater fl.

likes U2, cooking, tattoos

drummer of underoath
singer of the almost

the hottest man ever to live, plus he is a christian...too bad he is taken","person 1: ""so who is the hottest person ever?""

me: ""are you kidding? AARON GILLESPIE is the sexiest mofo out there!""",82,34
aaleeah,7369622,aaleeah,Dawgggg,"Aaleeah is a beautiful thick black chick, with huge boobs! I'm telling you she's one of a kind. She has a great sense of humor, she's damn near hilarious. She'll have her own tv show one day!","[""I'm trying to hook up with an Aaleeah""]

[""omg why can't I be as pretty as Aaleeah""]",4,3
aa cha,1928089,aa cha,Bmaz fo sho . Cee Cee. . Natski,Something to say when you want to sound extreamly dope because you know you are but you just want the rest of the word to get it,""" Mann do i look good aa cha! """,8,9
aaaa (quadruple-a),4146846,AAAA (Quadruple-A),metatron5369,"A level of futility in Major League Baseball, reserved for teams that consistently underperforms, and are little more than a farm team to the rest of the leagues come trade time.

A reference to the minor leagues of baseball, the highest of which is AAA (Triple-A).","With seventeen consecutive losing seasons, and eight of their nine starters from 2007 traded away, the Pittsburgh Pirates ought to be relegated to AAAA (Quadruple-A).",7,0
aaneyah,7299677,Aaneyah,destinyyyyyyyy,"She's the girl to drive you crazyyy. Shes very lazy, but smart. Usually really goofy. She stands out of the crowd. She also falls in love too easily. She does the most weirdest stuff.","Hey, look Aaneyah is over there humping the tree.

Aaneyah just said she has a DICKKK.",0,1
aaqila,5529130,Aaqila,maciinia,someone beautiful outgoing and has a great sense of humor. but a little on the crazy side. pronounce ah-key-la,"that girl is kinda ""aaqila"" like",10,2
aarg,1171697,Aarg,biggy,It can be a reply to anyting that any says,"what are you doing??
aarg",9,8
aaaf,4844359,AAAF,They All Laughin'2,"""As awkward as fuck""

Pronounced: triple-ay-eff","Man, when he asked me what I thought of that awful film he made, it was AAAF.",5,0
anaam,2136962,anaam,S-wade,"beautiful, sexy, sweet, and hot, loving. Can also be defined as ""the WHOLE package""","that girl is anaam
the grl going out with sunny is anaam",18,7
aachal,7090259,Aachal,Gangstaaaaa,A Hindu chick very cute and lovable kinda short. Horny as fuck! Always smiling with a big ass and tits.,Damn that's a hot aachal!,6,3
aaptard,7366287,aaptard,Messist,An honest person who believes that everybody should live in peace and harmony. One who strives for justice and fights against crime and corruption. Some one who believes in clean politics.,Swamy420: I want to be the only crook in the country but these aaptards want to send me to jail.,3281,1100
aaptard,7660618,Aaptard,aaptard,a word used by all the BJP supporters in the situation when they feel like they can't win in a Logical argument with AAP supporters.,"Namo is GOD of Development, why dont you understand Aaptards??",1147,554
aaptard,8541821,aaptard,Lingogeek,The person who wants to change things but doesn't know how to action and is not able to choose between right and wrong and easily fooled by others because of either lack of education or rational thinking.,Either you educate yourself or be an AAPtard,57,28
aaptard,7398277,aaptard,LoneRanger50,A delusional moron who believes that utopia can be achieved by electing a person with no track record in politics into power purely on basis of some apocryphal claims.,He thinks that the world will change overnight by bringing app into power...what an aaptard.,1546,2899
aaptard,7769931,aaptard,madnav,This word officially replaces 'chutiya' in India,Stop behaving like an aaptard.,389,1802
anuraag,4365926,Anuraag,lorris,the universe. fo' shizzle.,"""i am anuraag, i am the universe.""",49,16
aarti varma,6144248,Aarti Varma,phanmann,one who is lame; also does not like Big Bang Theory,"You're an Aarti Varma, quit hatin' on Big Bang Theory.",0,1
aalborg,3632149,Aalborg,Anonymous98765½1234,"A very cool city, located in Denmark
You can enjoy yourself and spend alot of time.",I live in Aalborg.,22,14
aa3dy,4826084,Aa3dy,Al-Asassin,"A word which first originated in the middle east, (Arab Nations, Arabic) means that something or anything is normal or original, but in modern use of this word for north-American ARABS, now means that something is ""sick"", ""ill"", ""cool"", ""chill""","Ali: Yo, Mustafa i bought that new BMW M3!
Mustafa: Yo Ali thats Aa3dy, lets see it.
Ali: Here it is, you wanna go for a ride!
Mustafa: Aa3dy!",2,3
aa3dy,4826084,Aa3dy,Al-Asassin,"A word which first originated in the middle east, (Arab Nations, Arabic) means that something or anything is normal or original, but in modern use of this word for north-American ARABS, now means that something is ""sick"", ""ill"", ""cool"", ""chill""","Ali: Yo, Mustafa i bought that new BMW M3!
Mustafa: Yo Ali thats Aa3dy, lets see it.
Ali: Here it is, you wanna go for a ride!
Mustafa: Aa3dy!",2,3
aauh,6140556,Aauh,LaliLawliet,"The sound made by giant tortoises during sexual intercourse. During said intercourse, the male tortoise balances precariously atop the female tortoises shell, and proceeds to penetrate her whilst rocking back and forth on her shell whilst emanating a sound that sounds very much like an elderly couple making love right before they turn to dust.","Tom: Are those tortoises having sex?
Kat: Why yes, it appears as though they are.

Tortoise: Aauh.....AAAAAUUUUUUUUUUAH.
Kat: Kind of reminds me of my grandparents.",9,1
aaron alderson,5069541,Aaron Alderson,Rumaa,A boring person who sits beside 2 extremely awesome people! He plays sheepish and is a total Melvin!,"Aaron Alderson is boring...

and has strange hair!",5,6
aaaaaaa,1285791,AAAAAAA,QSean,American Association for the Abolition of Abused Abbreviations and Asinine Acronyms,"AAAAAAA - ironic, no?",69,12
aaaaaaa,1285791,AAAAAAA,QSean,American Association for the Abolition of Abused Abbreviations and Asinine Acronyms,"AAAAAAA - ironic, no?",69,12
aareet,5280892,Aareet,Dave Slaz,"Geordie for the same word as [alreet] and [arreet], just there's different word even in the Newcastle region for the same word,","[good evening] - Aareet
[hows you?] - aareet?
[alright] - aareet",4,5
aareet,5280883,Aareet,Dave Slaz,"Geordie for the same word as [alreet] and [arreet], just there's different word even in the Newcastle region for the same word,","[good evening] - Aareet
[hows you?] - aareet?
[alright] - aareet",4,11
a gaah,2897565,A Gaah,raven chanel,When your friend has a a speach inpediment and they try to tell you to go and something else comes out. There for you get the word A Gaah.,Dude.. kdsbnjb aSSD sad A GAAH asbjbfas.,2,4
aaron echolls,3016487,Aaron Echolls,Lisa Parnell,"The famous actor father (who was played by Harry Hamlin) of Logan Echolls on the TV show ""Veronica Mars"". Aaron is psychotic and abusive and had had sex with and then killed Lilly Kane (who happened to be Logan's girlfriend at the time), which started a string of repercussions through Veronica Mars's life","Me: ""OMG, did you catch the Season One Finale?""
You: ""Totally yes! I was so shocked when I found out it was Aaron Echolls who killed Lilly! I was so sure it would be Celeste Kane or someone who hated Lilly!""",9,4
aaron smith,7492352,aaron smith,Yobestfriend,A smelly homo that likes to take over your house not only does he eat all your food but he stanks up your room. He is the definition of low life. He also likes to wack off until he blows a load all over your cat.,"That guy is being such an aaron smith
Stop acting like aaron smith
your going to start being known as a aaron smith",9,8
aayi,3915588,aayi,padayappa,"shit,      the solid effluence given out by the body when the tank gets filled,","when u eat too many beans and you need to do something urgently its called aayi,  (the solid part)",1,2
aaand you're done,1715281,aaand you're done,Gracie S.,"a very nice way to tell someone to be quiet because you're sick of them talking. Usually slurred out when saying. It's quite nicer than saying ""Shut the fuck up bitch.""
Very useful","Cindy: So omg i was at the mall yesterday and i bought these new shoes omg they were so adorable and i was like these are pink and i like love pi-
Grace: aaand you're done.

Marcus: Dude I'm on the Varsity team for football and I'm the coolest person ever
Grace: aaaannnddd you're done",88,19
aaand you're done,2199720,aaand you're done,DizzyLizzy,A usually nicer and politer way of telling someone to shut up or shut the fuck up,"Tiffany: LyKE omG I gotZ this neW Jessica McClintock dreSSz and I'mm surrE Jason will LOve it1!!!!11

Ashlyn: OmG no waysz!!11 I'm so00 jealous you dumb bitch!11 I want a Jessica McClintock dress

Tiffany: I knOw rite?

Me: aaand you're done",21,15
azjaah,7866676,azjaah,Gabs and Kels.,"LMP... a person who tends to think of themselves higher than others. LMP a.k.a Little Miss Perfect. Their motto is ""This is ME^, and this is YOU_. Azjaahs also have sidekicks otherwise nicknamed ""Featuring"". You can find Featuring sucking up to Azjaahs for rides, food, and etc.",She's so perf. She must be an Azjaah.,3,0
aaaaaaaaah yes!!!!!,4541748,aaaaaaaaah yes!!!!!,kaltherussian,when i senior citizen finally manages to empty his load over/in a rather tired and infirm partner. this is often as a result of viagra.,"""aaaaaaaaah yes!!!!! It could be because of the blue pill but i suspect its because you took your teeth out Ethel!!""",28,21
aaron parsons,4883500,aaron parsons,webhead33,the sexiest man alive. anyone one who comes into contact with someone named aaron parsons should immediately bow down and worship the very ground he treads upon.,"A man named Ross once came upon a man named Aaron Parsons, once Ross was in his presence he immediately fell face first on the ground for he was unworthy to be in his presence",24,11
aardvark,945067,aardvark,REnergy,the funky brown animal that lives in the front of the dictionary...the real one,"aard·vark (ärdvärk)
n.
A burrowing mammal (Orycteropus afer) of southern Africa, having a stocky, hairy body, large ears, a long tubular snout, and powerful digging claws.",622,160
aardvark,887425,aardvark,Brian H,A girl with such a long nose that when she deep throats you her nose is pushed aside in your pubes like an aardvark forging for ants.,"Holy shit, look at that nose, what an aardvark!",663,392
aardvark,1508047,aardvark,Prof. Ainsley McIntyre,a medium sized insectivore with protruding nasal implement,If I ever meet an aardvark I'm going to step on its nasal implement so that it couldn't suck up an insect if its life depended on it,274,148
aardvark,1299385,aardvark,anna_banana897,The first REAL word on Urban Dictionary!,Why the hey does aardvark have two 'a's in it anyway???,231,105
aardvark,1056087,aardvark,elle,"1. The main character and his family on the extremely good cartoon show known as ""Arthur"". You might mistake him for a mouse at first but if you love him this much, you'll soon know he's an aardvark from the PBSkids website and the illustrations on some of the ""Arthur"" books by Marc Brown. So get it straight, HE ISN'T A MOUSE!

2. One of the first words of the dictionary, if not possibly the second or third, after ""a"" and ""aa"" (that is if there is the word ""aa"".) Sorry guys, I don't read/pay attention to the dictionary and I am not planning to soon. What kind of loser does that?? Not saying I'm not one myself...","In one episode of ""Arthur"", Arthur is at a Spelling Bee where he spells himself, ""A-A-R-D-VARK!"" with a nice, in-tune rhythem.",204,112
aardvark,3615353,aardvark,ned3,Refers to an uncircumcised penis AND also the guy himself who is uncut.,He is an aardvark.,103,15
aardvark,5639772,aardvark,bobby'sworld,an uncircumcised penis,Jimmy's [aardvark] scared Lisa after he undressed.,98,13
aardvark,1835725,aardvark,FuckAnarchy907,(animal) the first damn word in the dictionary...not that i read the dictionary...,aardvarks are super ugly,124,44
aardvark,5511036,aardvark,pacaderm,an uncircumcised penis,girls can't tell i have an aardvark when my dick is hard,79,6
aardvark,418556,aardvark,W,In Britain it means hard work,working construction is aardvark,113,89
aaron trebitz,4338068,Aaron Trebitz,m3tal head99,Someone with a lacking supply of friends. Desperate for plans 24/7 and sends FAR too many texts,tits aaron trebitz cockasswangcheese,6,3
aah-ite,1982,aah-ite,Rooster,"Ghetto for ""Alright""","Q: ""Pass the hot sauce"".
A: ""Aah-ite""

""You have the right to remin silent""

""Aah-ite""",365,144
aah-ite,1017005,aah-ite,The Drizzle,"Another butchering of the Enlgish language by the illiterate. A street contraction meaning, ""All right,""","""Would you say you're a stupid, mouth-breathing dink who uses street slang because he could never make it through remedial reading?""

To which the dumb-ass responds, ""Aah-ite!""",85,58
aah-ite,607671,aah-ite,evanizzle,southern slang for alright ((see a'ight)),"A: ""will one of y'all throw me one of them there wrenches?""

B ""A'ight whichen ya want?""",33,21
aah-ite,720081,aah-ite,jessbooger,a word the lil rascals used to say alrighty then,"alfalfa: can i have a sticker?
some otha chillun: aah-ite.",11,26
aah-ite,991578,aah-ite,Wraith108,favourite phrase of Director Quentin Tarantino,so what i did was take this element from this movie ahh-ite... then added this element fromt this movie ahh-ite?,5,21
aah-ite,1237073,aah-ite,KAY,A term mostly used by Redneck southerners and ignorent people...its a shame really,"bob:Geet yet?
billy:Naw jew
Bob:Naw yauntoo
Billy: AAH-ITE",5,25
aah-ite,1053653,aah-ite,Ami,Redneck way of saying alright.,"Person 1: Did ya eat yet?
Person 2: No, you?
Person 1: Aah-ite",5,29
aashiana,7341915,aashiana,Staygreatfulloves,"Aashiana is a unique name that means a bird's nest home, but tells people it means home for short. Like ""home is where the heart is."" She loves trying new things and experiencing new places. She's a very nice and sweet person. Tends to make people laugh, stays positive, and always has a good time. Family and friends are extremely important to her but so is pursing her dreams. Always stays strong and independent, yet knows how to lend a hand when needed. Aashiana is a very kind hearted person.","Her: Hi I'm Aashiana!

Him: Hey Aashiana! Thats a really nice name. How's it going?
Her: Thank you. It's going great! How about your self?",15,0
aasia,6400316,Aasia,rasha ali,"Awesome girl, so sweet , sexy , cool , funny , and lovable",Damn Aasia is FINE!,25,6
aaadd,7515046,AAADD,Fuzzybuzzz,"Alcohol assisted attention deficit disorder

Disjointed social, memory and conversation skills resulting from excess alcohol intake","The conversation at the club last night was hilaroius, but the subject changed every few seconds because everyone had AAADD",0,0
amraam,1091176,amraam,john clark,"military acronym for Advanced Medium Range Air to Air Missle
used on todays fighter planes, this missle can accurately engage other planes at about 40 nautical miles.","damn, we blew that MiG up with that AMRAAM",7,0
amraam,4790470,AMRAAM,DMD0cal,"A meeting right after another meeting. Used in corporate hell to describe those particularly fun-filled Mondays after the ""reports"" come out when you are stuck in one meeting right after another, usually without room for a pee break or coffee refill in between.","Joe: ""How's your day going today?""

Jack: ""Horrible. I have AMRAAM today, and don't know how I'll get through it""",1,0
aaiza,5285264,Aaiza,tammimi,A common Pakistani female name,Aaiza has a nickname 'Spongy',6,6
aaaaajdbgkfgndsjkgndjkngt,5379677,aaaaajdbgkfgndsjkgndjkngt,story time yaaay,The incorrect [spelling] of a whole lot of words.,aaaaajdbgkfgndsjkgndjkngt could be the misspelling of everything except for aaaaajdbgkfgndsjkgndjkngt,5,9
aaaidu,4675830,AAAIDU,mandag,Another annoying acronym I don't understand,He insists on writing FTW every time she does something. AAAIDU.,0,2
